offender_url,other_url,APPROVED_VERSION_CREATED_AT,num_copied_media,num_copied_fonts,num_copied_words,agree?
https://www.canva.com/admin/template/EAFcAB3S_TY,https://www.canva.com/admin/template/EAFaDsRJkbo,2023-03-08 01:15:04,7,2,5,
https://www.canva.com/admin/template/EAFcABGZGeE,https://www.canva.com/admin/template/EAFaDqGU7os,2023-03-08 01:14:36,7,2,5,
https://www.canva.com/admin/template/EAFcAEVENnI,https://www.canva.com/admin/template/EAFaDq8DDQY,2023-03-08 01:17:05,5,2,6,
https://www.canva.com/admin/template/EAFchbAb-hc,https://www.canva.com/admin/template/EAFMOUDXhTc,2023-03-15 04:59:50,7,3,3,
https://www.canva.com/admin/template/EAFcAEM7ktw,https://www.canva.com/admin/template/EAFaDkSjipU,2023-03-08 01:15:30,6,2,5,
https://www.canva.com/admin/template/EAFcAvSddV4,https://www.canva.com/admin/template/EAFaDmdYfhs,2023-03-08 03:40:53,7,2,4,
https://www.canva.com/admin/template/EAFdDJkFDDc,https://www.canva.com/admin/template/EAFdDB8n6Gc,2023-03-17 07:29:11,5,3,5,
https://www.canva.com/admin/template/EAFclYejn08,https://www.canva.com/admin/template/EAE57okWgug,2023-03-08 05:48:11,3,4,6,
https://www.canva.com/admin/template/EAFcAvSddV4,https://www.canva.com/admin/template/EAFaDmdYfhs,2023-03-08 03:40:53,7,2,4,
https://www.canva.com/admin/template/EAFchbAb-hc,https://www.canva.com/admin/template/EAFMOUDXhTc,2023-03-15 04:59:50,7,3,3,
https://www.canva.com/admin/template/EAFdDJkFDDc,https://www.canva.com/admin/template/EAFdDB8n6Gc,2023-03-17 07:29:11,5,3,5,
https://www.canva.com/admin/template/EAFcAdfmF2M,https://www.canva.com/admin/template/EAFaDm835nc,2023-03-08 03:49:58,9,2,2,
https://www.canva.com/admin/template/EAFcAIRfhHQ,https://www.canva.com/admin/template/EAFaDjTzu9g,2023-03-08 01:17:19,6,2,5,
https://www.canva.com/admin/template/EAFcARI-5Wk,https://www.canva.com/admin/template/EAFaDmR6xug,2023-03-08 03:48:58,9,2,2,
https://www.canva.com/admin/template/EAFcARLykCo,https://www.canva.com/admin/template/EAFaDsijgIE,2023-03-08 03:45:58,10,2,1,
https://www.canva.com/admin/template/EAFcAacCx-Y,https://www.canva.com/admin/template/EAFaDrKNueU,2023-03-08 03:50:46,9,2,2,
https://www.canva.com/admin/template/EAFcARI-5Wk,https://www.canva.com/admin/template/EAFaDmR6xug,2023-03-08 03:48:58,9,2,2,
https://www.canva.com/admin/template/EAFcAdfmF2M,https://www.canva.com/admin/template/EAFaDm835nc,2023-03-08 03:49:58,9,2,2,
https://www.canva.com/admin/template/EAFcAIRfhHQ,https://www.canva.com/admin/template/EAFaDjTzu9g,2023-03-08 01:17:19,6,2,5,
